Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Afghanistan,AFG,21.177,22.078,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Albania,ALB,36.428,41.741,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Algeria,DZA,52.085,59.919,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,American Samoa,ASM,80.948,88.587,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Andorra,AND,94.712,92.395,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Angola,AGO,37.144,50.087,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Antigua and Barbuda,ATG,35.426,32.127,26.238,25.703,25.526,25.35,25.175,25,24.846,24.713,24.599,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,86.984,89.142,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Armenia,ARM,67.421,64.666,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Aruba,ABW,50.319,46.717,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Australia,AUS,85.433,84.235,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Austria,AUT,62.96,60.213,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Azerbaijan,AZE,53.749,51.386,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Bahamas, The",BHS,79.838,82.007,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bahrain,BHR,88.14,88.372,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,19.811,23.59,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Barbados,BRB,37.37,33.827,31.87,31.7,31.553,31.429,31.328,31.249,31.193,31.159,31.147,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belarus,BLR,65.981,69.973,74.672,75.188,75.697,76.199,76.693,77.181,77.661,78.134,78.595,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belgium,BEL,96.377,97.129,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Belize,BLZ,47.465,45.398,45.228,45.228,45.246,45.282,45.335,45.406,45.495,45.601,45.724,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Benin,BEN,34.485,38.333,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bhutan,BTN,16.388,25.418,34.793,35.585,36.371,37.149,37.918,38.678,39.428,40.167,40.895,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bolivia,BOL,55.577,61.787,66.43,66.874,67.315,67.699,68.047,68.393,68.738,69.08,69.425,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bosnia and Herzegovina,BIH,39.249,42.384,45.558,45.878,46.199,46.519,46.84,47.173,47.518,47.876,48.245,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Botswana,BWA,41.933,53.219,62.412,63.865,64.768,65.572,66.368,67.155,67.933,68.7,69.446,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,73.922,81.192,84.335,84.631,84.923,85.209,85.492,85.77,86.042,86.309,86.569,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,British Virgin Islands,VGB,37.814,41.774,44.814,45.154,45.502,45.856,46.216,46.583,46.957,47.337,47.723,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brunei Darussalam,BRN,66.438,71.164,74.961,75.31,75.656,75.997,76.332,76.663,76.99,77.312,77.629,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bulgaria,BGR,66.377,68.899,72.302,72.638,72.975,73.313,73.651,73.99,74.329,74.669,75.008,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burkina Faso,BFA,13.815,17.844,24.633,25.196,25.767,26.346,26.934,27.53,28.134,28.743,29.358,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Burundi,BDI,6.271,8.246,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cabo Verde,CPV,44.12,53.435,61.821,62.322,62.821,63.317,63.81,64.3,64.784,65.261,65.732,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cambodia,KHM,15.546,18.586,20.294,20.663,21.037,21.415,21.799,22.188,22.582,22.98,23.388,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cameroon,CMR,39.657,45.542,51.559,52.164,52.769,53.373,53.976,54.578,55.179,55.777,56.374,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,76.582,79.478,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Central African Republic,CAF,36.825,37.639,38.904,39.135,39.388,39.663,39.959,40.277,40.618,40.98,41.364,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chad,TCD,20.811,21.637,21.985,22.054,22.142,22.248,22.372,22.515,22.677,22.858,23.059,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Channel Islands,CHI,31.392,30.465,31.054,31.091,31.059,31.027,30.995,30.962,30.93,30.914,30.914,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Chile,CHL,83.271,86.073,87.074,87.132,87.189,87.246,87.303,87.36,87.422,87.49,87.564,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,China,CHN,26.442,35.877,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,69.481,73.957,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Comoros,COM,27.869,28.08,27.973,28.04,28.123,28.223,28.338,28.47,28.619,28.784,28.965,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Dem. Rep.",COD,30.633,35.122,40.013,40.544,41.082,41.627,42.18,42.74,43.307,43.88,44.46,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,"Congo, Rep.",COG,54.324,58.695,63.256,63.712,64.169,64.627,65.085,65.543,66.001,66.459,66.916,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Costa Rica,CRI,50.003,59.052,71.736,72.868,73.946,74.97,75.941,76.862,77.735,78.56,79.34,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cote d'Ivoire,CIV,39.345,43.155,47.33,47.751,48.172,48.593,49.014,49.444,49.881,50.326,50.779,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Croatia,HRV,51.037,53.428,55.155,55.322,55.506,55.706,55.923,56.155,56.403,56.667,56.947,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cuba,CUB,73.364,75.323,76.597,76.689,76.781,76.827,76.861,76.896,76.93,76.977,77.037,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Curacao,CUW,84.678,90.752,89.905,89.775,89.654,89.544,89.443,89.352,89.272,89.203,89.145,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Cyprus,CYP,66.776,68.648,67.551,67.406,67.261,67.137,67.031,66.946,66.881,66.836,66.81,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Czech Republic,CZE,75.22,73.988,73.255,73.185,73.197,73.29,73.384,73.477,73.57,73.675,73.792,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Denmark,DNK,84.843,85.1,86.795,86.957,87.142,87.292,87.41,87.526,87.642,87.757,87.874,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Djibouti,DJI,75.957,76.532,76.999,77.064,77.138,77.222,77.314,77.417,77.528,77.648,77.777,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominica,DMA,63.079,65.265,68.094,68.389,68.685,68.982,69.28,69.579,69.88,70.181,70.483,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Dominican Republic,DOM,55.226,61.753,73.753,74.827,75.802,76.749,77.67,78.566,79.436,80.277,81.074,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Ecuador,ECU,55.09,60.299,62.69,62.851,62.988,63.125,63.261,63.398,63.534,63.67,63.821,..
