DATE,VALUE
9/21/06,-0.53955
9/22/06,-0.24658
9/25/06,0.88152
9/26/06,0.75168
9/27/06,0.01871
9/28/06,0.19153
9/29/06,-0.24642
10/2/06,-0.33911
10/3/06,0.20957
10/4/06,1.20755
10/5/06,0.22219
10/6/06,-0.26899
10/9/06,0.08002
10/10/06,0.20434
10/11/06,-0.25639
10/12/06,0.95411
10/13/06,0.20472
10/16/06,0.25117
10/17/06,-0.36522
10/18/06,0.14002
10/19/06,0.07321
10/20/06,0.11997
10/23/06,0.61523
10/24/06,0.02614
10/25/06,0.35139
10/26/06,0.4963
10/27/06,-0.84516
10/30/06,0.04284
10/31/06,0.00073
11/1/06,-0.73516
11/2/06,-0.03436
11/3/06,-0.22233
11/6/06,1.13465
11/7/06,0.22177
11/8/06,0.20827
11/9/06,-0.5333
11/10/06,0.18646
11/13/06,0.25491
11/14/06,0.63565
11/15/06,0.24045
11/16/06,0.22842
11/17/06,0.10287
11/20/06,-0.04996
11/21/06,0.16494
11/22/06,0.23382
11/27/06,-1.35979
11/28/06,0.3488
11/29/06,0.92016
11/30/06,0.08217
12/1/06,-0.27987
12/4/06,0.88852
12/5/06,0.40025
12/6/06,-0.13147
12/7/06,-0.39706
12/8/06,0.1812
12/11/06,0.22698
12/12/06,-0.10474
12/13/06,0.11689
12/14/06,0.86894
12/15/06,0.11224
12/18/06,-0.32303
12/19/06,0.21582
12/20/06,-0.1417
12/21/06,-0.3674
12/22/06,-0.53162
12/27/06,0.70153
12/28/06,-0.14788
12/29/06,-0.45131
1/4/07,0.12283
1/5/07,-0.60846
1/8/07,0.22203
1/9/07,-0.05167
1/10/07,0.19404
1/11/07,0.63399
1/12/07,0.48531
1/17/07,-0.08939
1/18/07,-0.29707
1/19/07,0.28955
1/22/07,-0.52779
1/23/07,0.35419
1/24/07,0.85015
1/25/07,-1.12698
1/26/07,-0.12079
1/29/07,-0.10969
1/30/07,0.57721
1/31/07,0.65929
2/1/07,0.53538
2/2/07,0.16944
2/5/07,-0.09666
2/6/07,0.0698
2/7/07,0.1395
2/8/07,-0.11793
2/9/07,-0.70772
2/12/07,-0.32613
2/13/07,0.75975
2/14/07,0.76441
2/15/07,0.10376
2/16/07,-0.08718
2/21/07,-0.14044
2/22/07,-0.08576
2/23/07,-0.35636
2/26/07,-0.12541
2/27/07,-3.47254
2/28/07,0.5561
3/1/07,-0.25945
3/2/07,-1.14028
3/5/07,-0.94076
3/6/07,1.54936
3/7/07,-0.24652
3/8/07,0.71266
3/9/07,0.06848
3/12/07,0.26731
3/13/07,-2.03683
3/14/07,0.66911
3/15/07,0.36838
3/16/07,-0.38283
3/19/07,1.08944
3/20/07,0.63335
3/21/07,1.70808
3/22/07,-0.03484
3/23/07,0.10944
3/26/07,0.09679
3/27/07,-0.61843
3/28/07,-0.79658
3/29/07,0.37397
3/30/07,-0.1174
4/2/07,0.2597
4/3/07,0.92801
4/4/07,0.11128
4/5/07,0.30499
4/10/07,0.26166
4/11/07,-0.65728
4/12/07,0.62063
4/13/07,0.34881
4/16/07,1.07513
4/17/07,0.20498
4/18/07,0.06932
4/19/07,-0.1202
4/20/07,0.92607
4/23/07,-0.2304
4/24/07,-0.03511
4/25/07,1.01391
4/26/07,-0.07824
4/27/07,-0.01205
4/30/07,-0.7831
5/1/07,0.26512
5/2/07,0.64724
5/3/07,0.43251
5/4/07,0.21499
5/7/07,0.25637
5/8/07,-0.1166
5/9/07,0.32234
5/10/07,-1.39563
5/11/07,0.96415
5/14/07,-0.1793
5/15/07,-0.13039
5/16/07,0.86265
5/17/07,-0.0918
5/18/07,0.66105
5/21/07,0.15433
5/22/07,-0.06426
5/23/07,-0.12073
5/24/07,-0.97026
5/25/07,0.54527
5/30/07,0.79836
5/31/07,0.02549
6/1/07,0.3737
6/4/07,0.18485
6/5/07,-0.5347
6/6/07,-0.88638
6/7/07,-1.75698
6/8/07,1.13703
6/11/07,0.09617
6/12/07,-1.06817
6/13/07,1.51842
6/14/07,0.48164
6/15/07,0.65267
6/18/07,-0.12134
6/19/07,0.17308
6/20/07,-1.36011
6/21/07,0.61804
6/22/07,-1.28959
6/25/07,-0.32079
6/26/07,-0.32382
6/27/07,0.90094
6/28/07,-0.04182
6/29/07,-0.15674
7/2/07,1.06961
7/3/07,0.35803
7/6/07,0.33041
7/9/07,0.09213
7/10/07,-1.41855
7/11/07,0.57214
7/12/07,1.9055
7/13/07,0.31014
7/16/07,-0.19195
7/17/07,-0.00968
7/18/07,-0.20654
7/19/07,0.44691
7/20/07,-1.22209
7/23/07,0.48693
7/24/07,-1.98045
7/25/07,0.46657
7/26/07,-2.33385
7/27/07,-1.59915
7/30/07,1.02539
7/31/07,-1.26466
8/1/07,0.72426
8/2/07,0.43594
8/3/07,-2.65861
8/6/07,2.41511
8/7/07,0.61594
8/8/07,1.40718
8/9/07,-2.96496
8/10/07,0.03785
8/13/07,-0.04953
8/14/07,-1.81565
8/15/07,-1.39078
8/16/07,0.32487
8/17/07,2.45665
8/20/07,-0.02697
8/21/07,0.10861
8/22/07,1.17129
8/23/07,-0.10724
8/24/07,1.1535
8/27/07,-0.85036
8/28/07,-2.3473
8/29/07,2.19219
8/30/07,-0.4181
8/31/07,1.12168
9/5/07,-1.15011
9/6/07,0.42519
9/7/07,-1.69085
9/10/07,-0.12727
9/11/07,1.36323
9/12/07,0.00476
9/13/07,0.84196
9/14/07,0.02022
9/17/07,-0.51204
9/18/07,2.9208
9/19/07,0.60864
9/20/07,-0.67232
9/21/07,0.46091
9/24/07,-0.52564
9/25/07,-0.03426
9/26/07,0.54112
9/27/07,0.39071
9/28/07,-0.30234
10/1/07,1.32897
10/2/07,-0.0265
10/3/07,-0.45518
10/4/07,0.2111
10/5/07,0.95603
10/8/07,-0.32165
10/9/07,0.80962
10/10/07,-0.17123
10/11/07,-0.51585
10/12/07,0.47542
10/15/07,-0.83814
10/16/07,-0.65732
10/17/07,0.17614
10/18/07,-0.07526
10/19/07,-2.56156
10/22/07,0.37984
10/23/07,0.88029
10/24/07,-0.24414
10/25/07,-0.09763
10/26/07,1.37876
10/29/07,0.37127
10/30/07,-0.64634
10/31/07,1.1992
11/1/07,-2.64235
11/2/07,0.08022
11/5/07,-0.49548
11/6/07,1.20492
11/7/07,-2.93698
11/8/07,-0.0576
11/9/07,-1.4287
11/12/07,-0.99883
11/13/07,2.9093
11/14/07,-0.70693
11/15/07,-1.32125
11/16/07,0.52303
11/19/07,-1.74603
11/20/07,0.44862
