NOC,Gold
ALG,4.0
ANZ,20.0
ARG,68.0
ARM,1.0
AUS,293.0
AUT,21.0
AZE,4.0
BAH,9.0
BDI,1.0
BEL,91.0
BLR,14.0
BRA,59.0
BUL,53.0
CAN,154.0
CHI,3.0
CHN,234.0
CMR,20.0
COL,1.0
CRC,1.0
CRO,31.0
CUB,160.0
CZE,10.0
DEN,147.0
DOM,2.0
ECU,1.0
EGY,7.0
ESP,92.0
EST,9.0
ETH,18.0
EUA,68.0
EUN,92.0
FIN,124.0
FRA,378.0
FRG,143.0
GBR,498.0
GDR,329.0
GEO,5.0
GER,407.0
GRE,34.0
HKG,1.0
HUN,400.0
INA,9.0
IND,128.0
IRI,11.0
IRL,8.0
ISR,1.0
ITA,460.0
JAM,23.0
JPN,206.0
KAZ,9.0
KEN,26.0
KOR,140.0
LAT,2.0
LTU,4.0
LUX,1.0
MAR,6.0
MEX,14.0
MGL,2.0
MOZ,1.0
NED,212.0
NGR,19.0
NOR,194.0
NZL,76.0
PAK,42.0
PAN,1.0
PER,1.0
POL,103.0
POR,4.0
PRK,10.0
ROU,155.0
RSA,24.0
RU1,1.0
RUS,192.0
SLO,4.0
SUI,73.0
SUR,1.0
SVK,10.0
SWE,347.0
SYR,1.0
TCH,80.0
THA,7.0
TPE,2.0
TRI,1.0
TUN,2.0
TUR,37.0
UAE,1.0
UGA,1.0
UKR,32.0
URS,838.0
URU,44.0
USA,2088.0
UZB,4.0
VEN,1.0
YUG,143.0
ZIM,18.0
ZZX,23.0
