NOC,Silver
AHO,1.0
ALG,2.0
ANZ,4.0
ARG,83.0
ARM,1.0
AUS,369.0
AUT,81.0
AZE,3.0
BAH,9.0
BEL,167.0
BLR,25.0
BOH,1.0
BRA,139.0
BUL,142.0
CAN,211.0
CHI,9.0
CHN,252.0
CIV,1.0
CMR,1.0
COL,3.0
CRC,1.0
CRO,30.0
CUB,126.0
CZE,18.0
DEN,192.0
DOM,1.0
ECU,1.0
EGY,7.0
ESP,193.0
EST,9.0
ETH,6.0
EUA,100.0
EUN,65.0
FIN,118.0
FRA,461.0
FRG,167.0
GBR,591.0
GDR,271.0
GEO,2.0
GER,350.0
GHA,1.0
GRE,62.0
HAI,1.0
HKG,2.0
HUN,308.0
INA,14.0
IND,16.0
IOP,1.0
IRI,15.0
IRL,8.0
ISL,15.0
ISR,1.0
ISV,1.0
ITA,394.0
JAM,40.0
JPN,228.0
KAZ,16.0
KEN,31.0
KGZ,1.0
KOR,191.0
KSA,1.0
LAT,11.0
LIB,2.0
LTU,4.0
LUX,1.0
MAR,5.0
MAS,3.0
MDA,3.0
MEX,18.0
MGL,7.0
NAM,4.0
NED,250.0
NGR,38.0
NOR,199.0
NZL,27.0
PAK,45.0
PAR,17.0
PER,14.0
PHI,2.0
POL,173.0
POR,9.0
PRK,12.0
PUR,1.0
ROU,187.0
RSA,37.0
RU1,7.0
RUS,206.0
SCG,14.0
SEN,1.0
SIN,4.0
SLO,6.0
SRB,1.0
SRI,2.0
SUD,1.0
SUI,165.0
SVK,11.0
SWE,349.0
SYR,1.0
TAN,2.0
TCH,144.0
TGA,1.0
THA,4.0
TJK,1.0
TPE,27.0
TRI,8.0
TUN,2.0
TUR,23.0
UGA,3.0
UKR,38.0
URS,627.0
URU,2.0
USA,1195.0
UZB,5.0
VEN,2.0
VIE,2.0
YUG,174.0
ZAM,1.0
ZIM,4.0
ZZX,15.0
