Country,region
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
Andorra,Europe & Central Asia
Angola,Sub-Saharan Africa
Antigua and Barbuda,Latin America & Caribbean
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Bahamas,Latin America & Caribbean
Bahrain,Middle East & North Africa
Bangladesh,South Asia
Barbados,Latin America & Caribbean
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Belize,Latin America & Caribbean
Benin,Sub-Saharan Africa
Bhutan,South Asia
Bolivia,Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
Brunei,East Asia & Pacific
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Cape Verde,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Chile,Latin America & Caribbean
China,East Asia & Pacific
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Costa Rica,Latin America & Caribbean
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Europe & Central Asia
Cuba,Latin America & Caribbean
Cyprus,Europe & Central Asia
Czech Republic,Europe & Central Asia
Denmark,Europe & Central Asia
Djibouti,Middle East & North Africa
Dominica,Latin America & Caribbean
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
Egypt,Middle East & North Africa
El Salvador,Latin America & Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe & Central Asia
Ethiopia,Sub-Saharan Africa
Fiji,East Asia & Pacific
Finland,Europe & Central Asia
France,Europe & Central Asia
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Greece,Europe & Central Asia
Grenada,Latin America & Caribbean
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America & Caribbean
Haiti,Latin America & Caribbean
Holy See,
Honduras,Latin America & Caribbean
"Hong Kong, China",East Asia & Pacific
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
India,South Asia
Indonesia,East Asia & Pacific
Iran,Middle East & North Africa
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Israel,Middle East & North Africa
Italy,Europe & Central Asia
Jamaica,Latin America & Caribbean
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia & Pacific
North Korea,East Asia & Pacific
South Korea,East Asia & Pacific
Kuwait,Middle East & North Africa
Kyrgyz Republic,Europe & Central Asia
Lao,East Asia & Pacific
Latvia,Europe & Central Asia
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East & North Africa
Liechtenstein,Europe & Central Asia
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
"Macedonia, FYR",Europe & Central Asia
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia & Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Middle East & North Africa
Marshall Islands,East Asia & Pacific
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America & Caribbean
"Micronesia, Fed. Sts.",East Asia & Pacific
Moldova,Europe & Central Asia
Monaco,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nauru,East Asia & Pacific
Nepal,South Asia
Netherlands,Europe & Central Asia
New Zealand,East Asia & Pacific
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Norway,Europe & Central Asia
Oman,Middle East & North Africa
Pakistan,South Asia
Palau,East Asia & Pacific
Panama,Latin America & Caribbean
Papua New Guinea,East Asia & Pacific
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,East Asia & Pacific
Poland,Europe & Central Asia
Portugal,Europe & Central Asia
Qatar,Middle East & North Africa
Romania,Europe & Central Asia
Russia,Europe & Central Asia
Rwanda,Sub-Saharan Africa
St. Kitts and Nevis,Latin America & Caribbean
St. Lucia,Latin America & Caribbean
St. Vincent and the Grenadines,Latin America & Caribbean
Samoa,East Asia & Pacific
San Marino,Europe & Central Asia
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,Middle East & North Africa
Senegal,Sub-Saharan Africa
Serbia,Europe & Central Asia
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia & Pacific
